SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,# CREW,# PASS,LIVES LOST,SHIP VALUE,NATURE OF CARGO,USLSS STATION NAME,MISC INFORMATION
Taku,,Harbor Towing Corp,Tug,1943,"Kewaunee, WI",6/13/1970,1970,6,13,Island Beach E 1 mi,,,Foundered,Steel,,"New York, NY",,,2,,0,,,USCG Barnegat Light,Sank
Talisman,,,Freighter,,,1/24/1935,1935,1,24,"Sea Girt, NJ",,,"Collision w/ ""Mohawk""",Steel,Norway,,"Brooklyn, NY","Claymont, DE",,,,,,,Partial damage; Returned to NY
Tamaqua,,Philadelphia & Reading RR Co,Steamship,1896,"Philadelphia, PA",10/11/1896,1896,10,11,Great Egg Harbor,,,NE storm hurricane winds,Steel,,"Philadelphia, PA","Boston, MA","Philadelphia, PA",19,,0,"$85,000",4 barges,,No loss; continued after storm
Tamara Alane,Wendy Lynn,Clyde A Potter,Scallop boat,1964,,12/24/2003,2003,12,24,Cape May E 30 mi,,,Fire,Wood,US,"Lowland, NC",,,3,,0,,,USCG Atlantic City,"#296351; Crew rescued by USCG ""Ibis"""
Tamarac,,William & Henry Sarples,Sailing ship,1836,"Quebec, Canada",1/4/1837,1837,1,4,Fire Island Light E 3 mi,,,Stranded,Wood,England,"Liverpool, England","Liverpool, England","New York, NY",26,117,1,"$6,000",,,Total loss
Tammy Dee,,Charles McCullough,Clam boat,,,12/12/1989,1989,12,12,Cape May E 5 mi,,,Foundered; sank,,US,,,,3,,3,,,,
Tampico (1874),,Brugiere & Theband,Schooner,1867,"City Island, NY",4/23/1874,1874,4,23,,,,"Collision w/ ""John G Page""",Wood,,"New York, NY",Rio Grande do Sol,"New York, NY",,,1 (lost overboard),,Wool & hides,,Partial Loss
Tampico (1940),,Distribudera de Petrodeos Mexiacanos,Steamship,1930,,12/30/1940,1940,12,30,New York S 100 mi,38-16-00 N,74-15-00 W,Disabled; engine trouble,Steel,Mexico,,,,,,,,In ballast,,
Tango,,Aurelia Bolognesi,Yacht,,,12/8/1981,1981,12,8,Cape May E 55 mi,,,Lost in heavy seas,Wood & metal,,,"Atlantic Highlands, NJ","Norfolk, VA",,4,0,,,,Sunk
Tara III,,Transportation Corp of America,Yacht diesel,1953,"Alkimaar, Netherlands",8/24/1957,1957,8,24,Atlantic City E 3 mi,,,Burned,Steel,,"New York, NY","Annapolis, MD","New York, NY",,6,0,"$200,000",,,"Rescued by ""Elaina""/""Lone Ranger"""
Tarantula,SP-124,U S Navy,Patrol boat,1912,"Neponset, MA",10/28/1918,1918,10,28,Fire Island Light SW 8 mi,,,"Collision w/ ""SS Frisia""",Steel,US,"New York, NY","New York, NY",Patrol Duty,,,,,,,
Tarolinta,,,Schooner 2 masted,1870,"Nyack, NY",7/23/1886,1866,7,23,Barnegat,,,Burned & abandoned,,,"Boston, MA","Philadelphia, PA","Bangor, ME",,,,,,,"Crew rescued by ""Sarah Cullen"""
Tartar (1867),,Thompson & Co,Sloop,1845,"Philadelphia, PA",2/2/1867,1867,2,2,Stickles Creek N,,,Stranded,Wood,,"London, England","Calcutta, India","New York, NY",19,,0,,Jute,,
Tartar (1915),,,Schooner,1904,,8/1/1915,1915,8,1,Barnegat Inlet,39-26-00 N,74-18-30 W,Stranded,,,,,,17,,0,"$12,500",,,Total loss
Tasso,,Cropton,Bark,1838,"Sunderland, England",12/20/1856,1856,12,20,Barnegat Inlet S 2 mi,,,Stranded,Wood,England,"St John, NB, Canada ","Rio de Janiero, Brazil","New York, NY",13,2,6,,Coffee & rosewood,,Broke up; two of lost were surfmen
Taurus,,,Sport fishing boat,,,12/31/1983,1983,12,31,Schellengers Landing,,,Exploded,,,,,,,,,,,,Sank at dock
Teaser (1812),,,Pilot boat,,,~1812,1812,,,,,,"Grounded by British frigate ""San Domingo""",,,,,,,,,,,,Burned; War loss
Teaser (1914),,F W Munn,Tug steam,1899,"East Boston, MA",5/29/1914,1914,5,29,Sea Isle City E 4 mi,,,Struck submerged object,Wood,US,"Philadelphia, PA","Philadelphia, PA","Fall River, MA",15,0,0,"$38,000",,,"Total loss; Barge taken by ""Boxer"""
Telegraph,,,Schooner,,,12/12/1864,1864,12,12,"Long Branch, NJ",,,,,US,,"Norwich, CT","New York, NY",5,,0,,,,
Telos,,,Brig,,,10/14/1855,1855,10,14,Barnegat,,,Abandoned,,,,"Philadelphia, PA","Boston, MA",,,,,,,
Telula,,,Schooner,,,6/1847,1847,6,,Highlands S 8 mi,,,Stranded in gale,,,,"Havana, Cuba","New York, NY",,,,,,,Total loss
Tena A Cotton,,H W Cranmer,Schooner 3 masted,1883,"Milton, DE",8/22/1885,1885,8,22,Little Egg LSS NE 1 mi,,,Grounded,,,"Philadelphia, PA","Salem, MA","Philadelphia, PA",10 (7),,0,"$20,000",No cargo,,Refloated; careless crew
Terence,,"Liverpool, Brazil, River Platt SS Co",Steamship,1902,"Glasgow, Scotland",10/7/1903,1903,10,7,Highland Beach near Seabright,,,Stranded,Steel,,"Liverpool, England",Brazil,"New York, NY",75,,0,"$700,000","Coffee, hides, mail, passengers",,Refloated
Tetela,,"Surrey Shipping Co., Bermuda",Freighter,1960,"Bremen, Germany",7/7/1965,1965,7,7,Ambrose Light SSE 1 mi,,,"Collision w/ ""Green Island""",,England,,,"Wehawkin, NJ",,,0,,Refrigerated cargo,,Small fire; Made way to Wehawkin
Texas,,,Barge,,,6/30/1900,1900,6,30,"Hoboken, NJ",,,Burned,,US,,,,3,,2,,Cotton,,Total loss
Texas Tower #4,,U S Air Force,Radar Platform,1957,"South Portland, ME",1/15/1961,1961,1,15,Barnegat Light E 66 mi,39-48-24 N,72-40-20 W,Collapsed during Hurricane Donna,Steel,US,,,,28,,28,$9 million,,USAF & USCG,Total loss; Collapsed in 185' water
Texel,,U S Shipping Board,Steamship,1913,"Rotterdam, Denmark",6/2/1918,1918,6,2,Two Mile Beach E 73 mi,39 01 31 N,73 06 89 W,Sunk by U-151,Iron,US,,Puerto Rico,"New York, NY",,,,,Sugar,,Black Sunday wreck
The Bruce,Bruce,,Ship,,,2/11/1891,1891,2,11,Bayonne,,,Foundered,,,,,,,,,,,,
The Office,,,Sloop - Yacht,,,5/30/1970,1970,5,30,Cape May Point,,,Stranded,,,,,,7,,0,,,,Total loss
The Ram,Marilyn; Ark,Joel Kobrin,Yacht motor,1956,"Keyport, NJ",8/26/1976,1976,8,26,Sandy Hook E 2 mi,,,Burned,Wood,,"New York, NY",,,,,,,,,#290773
Thelma,,Martin L Walsh,Fishing vessel,1913,"Essex, MA",4/10/1936,1936,4,10,Barnegat N 20 mi,,,"Collision w/ ""Elfi""",,,"Gloucester, MA","New York, NY",Fishing service,9,,0,,,,"#211181; Sank; Crew rescued by ""Elfi"""
Theodora Palmer,,Thames Tow Boat Co,Schooner - Barge,1900,"Noank, CT",12/9/1927,1927,12,9,Brigantine Gas Buoy,,,Foundered,,,"New London, CT",,,4,,0,,,,#145859
Theodore,,,Barge,1882,,7/30/1916,1916,7,30,"Jersey City, NJ",,,Burned,,,,,,,,,,,,
Theresa,,T H Bardman & Co,Schooner,1874,"Noank, CT",12/9/1884,1884,12,9,Barnegat,,,Damaged in gale,,,"Newburyport, MA",Port de Paix,"New York, NY",,,,,,,#145016
Theresa Wolf,,Champion et al,Schooner,1874,"Mays Landing, NJ",8/11/1880,1880,8,11,Great Egg Harbor,,,"Collision w/ ""Roman""",,,"Great Egg Harbor, NJ",Virginia,"New York, NY",,,,,,,#24990; Towed to Sandy Hook
Thetis (1808),,,Schooner,,,2/16/1808,1808,2,16,Cape May,,,Grounded,,Italy,,"Genoa, Italy","Philadelphia, PA",,,,,,,
Thetis (1825),,,,,,6/1825,1825,6,,Cape May,,,Stranded,,,,,,,,,,,,
Thetis (1836),,,Brig,,,2/26/1836,1836,2,26,Townsends Inlet,,,Wrecked,,,"Stockholm, Sweden",,,12,,4,,,,Total loss
Thetis (1882),,F Gogorzas & Sons,Brig,1871,"Baltimore, MD",3/16/1882,1882,3,16,Ship Bottom LSS S .25 mi,,,Stranded in storm,Wood,US,"New York, NY","Bonaire, WI","New York, NY",8,6,0,"$12,000",Salt & Rye wood,"Harvey Cedars #19, Ship Bottom #20, Long Beach #21",#24863; Total loss
Thistle,,,Privateer,1811,,1813,1813,,,Squan Inlet N .5 mi,40-06-30 N,74-01-45 W,Stranded,,England,,,,,,,,Household goods,,
Thomas B Garland,,,Schooner,1881,"Bath, ME",5/8/1896,1896,5,8,Great Egg Harbor,,,Stranded,,,"Portsmouth, NH","Gardiner, ME","Ocean City, NJ",6,,0,"$6,500",Ice,"Ocean City, South Atlantic City, Gret Egg",#145252; Refloated after off-loading ice
Thomas B Hawkins,,,Sloop,,,10/15/1854,1854,10,15,Barnegat,,,Foundered,,,"Brookhaven, NY","Philadelphia, PA","Portsmouth, VA",,,0,,,,"Total loss; Crew rescued by ""Jane N Baker"""
Thomas B Wattson,,,Steamship,1868,,2/22/1928,1928,2,22,"Greenville, NJ",,,Foundered,,,,,,0,,0,,,,#24764
Thomas Bulger,Thomas S Bulger,,Barge,1900,,2/11/1925,1925,2,11,Bayonne,,,Collision w/ B&O RR Bridge,,,,,,1,,0,,,,#59591
Thomas Corwin,,,Bark,,,9/10/1854,1854,9,10,,39-10-00 N,74-00-00 W,Stranded,,,,"Cape Haytien, DE","New York, NY",,,,,,,Lost deck load & some sails
Thomas Fletcher,,Charles L Wright & Co,Bark,1862,"Bath, ME",2/4/1875,1875,2,4,Wreck Pond Squan Beach N .5 mi,,,Grounded in fog,,,"Pendelton, SC","Hamburg, Germany","New York, NY",,17,0,"$20,000",Assorted,Squan Beach #8,Refloated; TOwed to NY
Thomas G Smith,,L Mathews,Schooner 2 masted,1868,,2/10/1878,1878,2,10,Shark River Inlet,,,Stranded,Wood,US,"Philadelphia, PA","Georgetown, SC","New York, NY",7,,0,"$15,000","Resin, tar,cotton,rice, turpentine",Shark River # 7,# 24595; Refloated
Thomas H Benton,,,Brig,,,12/22/1845,1845,12,22,Squan Beach,,,Grounded in storm,,,"New York, NY","San Juan, Puerto Rico","New York, NY",,,,,,,Refloated; Badly damaged
Thomas H Lawrence,,,Schooner 3 masted,1891,"Boston, MA",12/13/1907,1907,12,13,Townsends Inlet SE 1.25 mi,,,Stranded,Wood,,"Boston, MA","Sullivan, ME","Philadelphia, PA",5,2,0,"$20,000",Paving blocks,Townsends Inlet & Avalon,#145578; Refloated
Thomas H Smith #2,,,Pilot schooner,,,8/28/1857,1857,8,28,Barnegat Inlet N 6 mi,,,Driven ashore in gale,Wood,US,"New York, NY",,Pilot service,3,,0,,,,Ship lost; Crew saved
Thomas Herbert,,SC Loveland Co,Tug,,,3/7/1993,1993,3,7,Manasquan Inlet SE 35 mi,,,,Steel,US,,Newport News. VA,"Portland, ME",7,,5,,Coal,,Towing coal barge
Thomas Howard,,Jacob Marshall,Schooner,1870,"Philadelphia, PA",~1889,1889,,,Five Fathom Bank Lightship,,,Damaged in storm,,,"Philadelphia, PA","Philadelphia, PA",,12,,0,"$10,000",None,,
Thomas J Beckett,,,,,,1/21/1855,1855,1,21,Absecon Beach,,,Grounded,,,,North Carolina,"New York, NY",,,,,,,
Thomas J Lancaster,,George L Hunter et al,Schooner 3 masted,1874,"Seaford, DE",9/17/1876,1876,9,17,"Ludlams Beach, NJ",,,Stranded,,,"Philadelphia, PA","Boston, MA","Philadelphia, PA",8,,0,"$30,000",Ice,Sta #33 & #35,#145019; Refloated
Thomas J Lanigan,,,Barge,1926,,1/1/1963,1963,1,1,Hudson River E Hoboken,,,Foundered,,,,,,,,,,,,
Thomas J Owen,,,Schooner,1863,,2/8/1906,1906,2,8,"Sayerville, NJ",,,Burned,,,,,,4,,0,,,,#24716
Thomas J Stewart,,I K Stetson,Barkentine,1890,"Brewer, ME",9/9/1896,1896,9,9,Sandy Hook E,,,Lost at sea,Wood,US,"Bangor, ME","Weehawlen, NJ","Boston, MA",,,All,,1400 ton coal,,#145562; Believed capsized in hurricane
Thomas J Yorke,,,Steamship,,,1/27/1887,1887,1,27,Delaware River,,,,,,,,,,,,,,,
Thomas Jefferson,,,Schooner,1841,"East River, VA",9/22/1851,1851,9,22,"Highlands, NJ",,,"Collision w/ ""Cushnoe""",Wood,US,"Astoria, NY","Wilmington, DE","New York, NY",4,,0,,Coal,,Abandoned before sinking
Thomas Thomas,,,Schooner,1867,"Beaufort, NC",3/15/1896,1896,3,15,Absecon bar,,,Stranded,,,"Chincoteague, VA","Hampton, VA","Atlantic City, NJ",4,,0,"$1,800",Oysters,,Refloated
Thomas Tracy (1926),Pottawotamie,Thomas Tracy,Tug steam,1919,"Green Bay, WI",11/16/1926,1926,11,16,Atlantic City,,,Foundered,Wood,,"New York, NY","Bayonne, NJ","Philadelphia, PA",14,,0,,,,"#219146; Formerly ""Pottawotamie"""
Thomas Tracy (1944),"Condor, Begna",M & J Tracy Inc,Tanker,1916,"Ashtabula, OH",9/14/1944,1944,9,14,"Rehoboth Beach, DE",38-42-00 N,75-04-00 W,Stranded,Steel,US,"New York, NY",,,35,,0,,,,Broke up; Total loss
Thomas W H White,,,Schooner 3 masted,1867,"Tuckerton, NJ",4/12/1882,1882,4,12,Sandy Hook LSS NNW 3.25 mi,,,Stranded,,,"New York, NY",Virginia,"New York, NY",6,,0,"$16,000",Pine wood,Sandy Hook,#24956; Refloated
Thomas W Haven,,,Schooner 3 masted,1872,"Bath, ME",6/26/1893,1893,6,26,"Monmouth Beach, Long Branch",,,Stranded,,,"Greenport, NY","Lambert's Point, VA","Orient, NY",6,0,2,"$10,000",Coal,,Total loss
Thomas Winsmore,,William H Johnson,Schooner,1891,"Milton, DE",1/12/1914,1914,1,12,Sandy Hook Romer Shoal,,,Stranded,Wood,,"Philadelphia, PA","Charleston, SC","New York, NY",8,,0,"$10,000",Lumber,,#145575; Refloated
Thorn,,,Brig,,,7/1/1845,1845,7,1,"Long Branch, NJ",,,Stranded,,,,,"Dighton, MA",,,,,Coal,,Total loss
Thos Russell,,,Schooner,,,3/31/1849,1849,3,31,NJ Coast E 5 mi,,,Capsized,,,"Cape May, NJ",,,5,,5,,,,Total loss
Three Apprentices,,,Brig,,,~1807,1807,,,Sandy Hook,,,Grounded & bilged,,,,"Kingston, Jamaica","Philadelphia, PA",,,,,Hides and Pimiento,,
Three Brothers (1767),,,Sailing ship,,,5/15/1767,1767,5,15,Hereford Inlet bar,,,Stranded,,England,,St Christopher,"Wilmington, NC",,,,,Copper & gold coins,,Cargo saved
Three Brothers (1864),,,Schooner,,,10/27/1864,1864,10,27,Cold Spring bar,,,Stranded,,,,"Brookhaven, NY",,,,,,Coal,,Total loss
Three Cheers,,J A Moren & Co,Brig,1873,"Guysborough, NS",3/24/1882,1882,3,24,Ship Bottom SW 1 mi,,,Stranded,Wood,England,"Halifax, NS","Manzamillo, Cuba","New York, NY",7,,0,"$6,000",Sugar & Molasses,Ship Bottom,#69051; Refloated
Three Friends,Three Sisters (1825),,Sloop,,,6/1825,1825,6,,Cape May W,,,Stranded,,,,,,,,,,,,Same as Three Sisters
Three in a Row #1,Dive boat capt nickname,,,,,,,,,Little Egg Inlet 4 mi E,39-28-12 N,74-12-42 W,,,,,,,,,,,,Diving wreck,58 ft; Unknown history
Three Sisters (1825),Three Friends,,Schooner,,,6/1825,1825,6,,Cape May W,,,Stranded,,,,,,,,,,,,Same as Three Friends
Three Sisters (1891),,,Sloop,,,10/11/1891,1891,10,11,Sandy Hook LSS SE,,,Wrecked,,,"New York, NY",,,7,,,,,Sandy Hook,
Thunderbolt,,,Sloop,,,~1772,1772,,,Sandy Hook,,,Stranded,,,,"St Croix, USVI","New York, NY",,,,,,,Reloated; cargo lost
Thurmond,,,Steamship,1890,"Duluth, MN",12/26/1909,1909,12,26,"Toms River, Seaside Park S .75 mi",,,Stranded,Steel,US,"New York, NY","Newport News, VA","Providence, RI",20,,0,"$55,000",Coal,"Toms River, Island Beach",#126642; Total loss
TI Fluke 06,Long Bay,,Fishing boat,,,4/10/2007,2007,4,10,Townsends Inlet Artificial Reef,39-06-476 N,74-36-471 W,Scuttled,Steel,US,NJ AR,TI,20,,,,,,,Sponsor - Townsends Inlet Fluke Tournament
TI Fluke 07,Miss Doxsee,,Fishing boat,,,8/13/2007,2007,8,13,Townsends Inlet Artificial Reef,39-06-605 N,74-36-177 W,Scuttled,Steel,US,NJ AR,TI,21,,,,,,,Sponsor - Townsends Inlet Fluke Tournament
Ticonderoga,,,Ship,,,~1853,1853,,,New Jersey coast,,,Wrecked,,,,,,16,,16,,,,
Tip Top,,,Barge,1906,,10/11/1931,1931,10,11,"Edgewater, NJ",,,Burned,,,,,,,,,,,,
Titan,,,Tug sidewheel,1852,"New York, NY",9/8/1855,1855,9,8,Squan Inlet S 5.5 mi,,,Stranded,,,"New York, NY","New York, NY",Phoenix Island,,,,,,,Total loss
Tobasco,,,Steamship,,,~1885,1885,,,Barnegat,,,Boiler breakdown,,Mexico,Mexico,Laguna,"New York, NY",,,,,,,
Tolten,Lotta,,Freighter,1938,"Aalborg, Denmark",3/14/1942,1942,3,14,Seaside Park E 13 mi,39-54-12 N,73-48-18 W,Torpedoed; war loss,Steel,Chile,Chile,"Baltimore, MD","New York, NY",29,,28,,Nitrates,,"Formerly ""Lotta""; Sank"
Tombull,,,Schooner,,,12/1825,1825,12,,Egg Harbor,,,Stranded,,,,,,,,,,,,
Tonawanda,,,Steamship,1864,"Philadelphia, PA",1/1/1888,1888,1,1,Brigantine E 20 mi,,,Capsized,,US,"Boston, MA","Darien, GA","New York, NY",3,,2,,Lumber,,
Topaz,,,Brig,,,6/8/1851,1851,6,8,,,,Sank in gale,,,"Eastport, NY","Eastport, NY","Philadelphia, PA",,,,,,,
Topgallant,,,Sloop,,,6/12/1845,1845,6,12,Barnegat,,,Grounded,,,,"Philadelphia, PA","New Haven, CT",,,,,Coal,,Total loss
Tracy,,,Schooner,,,8/19/1879,1879,8,19,Cape May N 8 mi,,,Stranded in storm,,,"Philadelphia, PA",,,,,,,Coal,,
Trade Wind,,,Schooner,,,11/20/1873,1873,11,20,Townsends Inlet,,,Stranded,,,,"Providence, RI","Philadelphia, PA",,,,,In ballast,,Refloated
Trader,,,Schooner,,,4/1/1855,1855,4,1,Egg Harbor,,,"Collision w/ ""James Adger""",,,,St Marys,"New York, NY",,,,,,,Total loss
Transglobe,Marine Wolf,Hudson Waterways Corp,Steamship,1944,"Chester, PA",7/21/1964,1964,7,21,Ambrose Lightship SE 7 mi,,,"Collision w/ ""Tubingen""",,US,"New York, NY","New York, NY","Bremerhaven, Germany",,,,,,,#245983; Slight damage; Made way to NY
Transit,,Thos Duntham's Nephew & Co,Ship,1860,"Bath, ME",4/14/1881,1881,4,14,Toms River LSS N 1 mi,,,Stranded,Wood,,"Bath, ME","Liverpool, England","New York, NY",16,,0,,General,Toms River #13,#24058; Refloated; Near Old Cranberry Inlet
Transmarine #122,,Submarine Boat Corp,Barge,1922,"Newark, NJ",5/15/1942,1942,5,15,Cold Spring Inlet E 1.6 mi,38-55-30 N,74-50-00 W,Foundered,,,,,,1,,0,,,,
Tranway,,,Schooner,,,1838 - 1878,1860,,,Barnegat Inlet N 1 mi,,,Stranded,,,,,,,,,,,,
Travis Stephen,Lorraine D; Lizzie Shaw; Lewis Boyer,Capt Dave Williams,Tug,1920,"Tampa, FL",10/31/2001,2001,10,31,Sea Girt Artificial Reef Reef,40-08-179 N,73-55-824 W,Opened sea cocks,Steel,US,NJ AR,SG,90,,,,,,,Sponsor Steve Nagiewicz & Dan Crowel
Treasurer,,D P Soley,Ship,1884,"Lower Economy, NS",12/3/1888,1888,12,3,Sandy Hook Flynn Knoll,,,Stranded,,England,"Parrsboro, NS","Perth Amboy, NJ","Antwerp, Belgium",20,,0,"$75,000",Petroleum,,Reflloated
Tremlet,,,Schooner,,,~1856,1856,,,Barnegat Inlet,39-44-46 N,74-05-20 W,Foundered,,England,,Nova Scotia,"New York, NY",10,,5,,,,
Trenton (1926),,,Sidewheel steam,1902,,1/30/1926,1926,1,30,"Trenton, NJ",,,Foundered,,,,,,,,0,,,,#111404
Trenton (1933),,,Tug steam,,,6/8/1933,1933,6,8,Loveladies outer bar N 1 mi,,,Grounded,,,,"Philadelphia, PA","New York, NY",,,,"$5,000",,,Total loss
Trevor Dixon,Response,,Crew boat,,,1/8/2008,2008,1,8,Sea Girt Artificial Reef Reef,40-07-931 N,73-56-373 W,Scuttled,,,NJ AR,SG,123,,,,,,,Sponsor - Belmar Chamber of Commerce
Trinity,,John S Denworth,Yacht motor,1966,"Port Clinton, OH",9/24/1976,1976,9,24,Beach Haven Inlet E 12 mi,,,Foundered,Wood,,"Philadelphia, PA",,,,,,,,,#507011
Triumph,,,Schooner,,,,,,,"Long Beach Island, NJ",,,Stranded,,,,,,,,,,Corn,,Refloated; Cargo unloaded
Troop Carrier,Dive boat capt nickname,,Troop transport,,,,,,,Harvey Cedars,39-41-50 N,74-27-48 W,Grounded,,,,,,,,,,,Diving wreck,24 ft; Unknown history
Tropic,,Joseph Potter,Brig,1870,"Church Point, NS",3/16/1880,1880,3,16,Long Beach LSS N 1 mi,,,Stranded,,,"Port-au-Prince, Haiti","Miragoane, Haiti","New York, NY",7,,7,"$8,000",Logwood,Long Beach #21,Total loss
Troy,,American Dredging Co,Tug steam,1956,"Cohoes, NY",12/7/1979,1979,12,7,Absecon Inlet,,,Sank while towing,Steel,,"Philadelphia, PA",,,,,,,,,#271730; Towing a dredge
Troy,Matton; Kathleen Turecamo,Joe Williams,Tug,1955,"Cohoes, NY",4/27/1990,1990,4,27,Atlantic City Artificial Reef,39-15-29   N N,74-14-06   W,Explosives,Steel,US,NJ AR,AC,11,,,,,,,"Sponsor - Ocean City Marlin & Tuna Club, et al"
Trumbell,,,Merchantman,,,~1825,1825,,,Sandy Hook,,,Wrecked,,US,,"Trinidad, BWI","New York, NY",,,,,,,Total loss
Trumlett,,,Schooner,,,4/21/1852,1852,4,21,Squan Village S 11 mi,,,Foundered in storm,,Canada,Nova Scotia,"Canso, NS","New York, NY",7,,5,,Fish & fish oil,,Total loss
Truro,,Staples Trans. Co,Schooner - Barge,1917,"Bath, ME",5/26/1934,1934,5,26,Barnegat Lightship N,39-53-38 N,73-55-42 W,Foundered while in tow,Wood,,"Fall River, MA",,,5,,2,,Coal,,"#214785; ""Irene"" also lost; Tug ""Mars"""
Truth,,,Schooner,,,8/26/1852,1852,8,26,Atlantic City,,,Stranded,,,,,,,,,,,,Total loss
Tryal,Tryol,,Passenger liner,,,6/20/1739,1739,6,20,Egg Harbor,,,Stranded,,,,"Dublin, Ireland","Philadelphia, PA",,,,,Passengers & servants,,Presumed total loss
Tryphenia,,,Sloop,,,3/18/1818,1818,3,18,Cape May,,,Stranded,,,,"New York, NY","Norfolk, VA",,,4,,,,
Tsernogora,,J & J Hovitt et al,Ship,1877,"Plymouth, NS",3/28/1886,1886,3,28,Spring Lake LSS S 1 mi,40-08-03 N,74-01-03 W,Stranded,,England,"Yarmouth, NS","Havre, Belgium","New York, NY",19,,0,"$30,000",Empty naptha barrels,Spring Lake/Squan Beach,Ship total loss; half cargo saved
Tubingen,,Hamburg Amerika Line,Motor vessel,1955,"Hamburg, Germany",7/21/1964,1964,7,21,Ambrose Lightship SE 7 mi,,,"Collision w/ ""Transglobe""",,Germany,"Hamburg, Germany",,"New York, NY",,,,,,,Slight damage; Made way to NY
Tuckahoe,,,Steamship,,,8/2/1883,1883,8,2,Absecon Inlet North shoal,,,Stranded,,,"Philadelphia, PA","New York, NY","Baltimore, MD",,,,,,Atlantic City,#24928; Refloated
Tugboat,Dive boat capt nickname,,Tug,,,,,,,Barnegat Inlet E 100 yds,39-44-50 N,74-06-18 W,,,,,,,,,,,,Diving wreck,Just a boiler; Unknown history
Tugboat Wreck,Boiler Wreck,,Barge,,,9/30/1944,1944,9,30,Barnegat Light E 6 mi,39-15-30 N,73-58-28.W,,,US,,,,,,,,,,Hydro Office #822
Tullahoma,Llano,Charles Kurz & Co,Oil Tanker,1944,"Chester, PA",7/13/1969,1969,7,13,Sandy Hook,,,"Collision w/ ""Amberjack III""",Steel,US,"Wilmington, DE","New York, NY","New Orleans, LA",,,0,,,,#2246662; No damage
Tuna,,,Submarine,,,5/18/1912,1912,5,18,Great Egg Harbor bar,,,Stranded,,,"Bridgeport, CT","Newport News, VA","Bridgeport, CT",19,,0,"$410,000",None,,Refloated
Tuna King,,,,1931,,9/15/1945,1945,9,15,"Bet Brielle, NJ & Freeport, LI",,,Foundered,,,,,,,,,,,,#236925
Tuna Lady,,,Motor vessel diesel,1927,,11/14/1956,1956,11,14,Waretown Sands Point Harbor,,,Burned,,,,,,,,,,,,
Tuna Sub,,Albert Marine,Deck barge,1990,"Circa, NY",5/21/2002,2002,5,21,Barnegat Light Artificial Reef,39-44-973 N,74-01-450 W,Opened hull,Steel,US,NJ AR,BL,135,,,,,,,Sponsor - Forked River Tuna Club
Tunkhannock,,,Schooner - Barge,1891,"Noank, CT",10/18/1914,1914,10,18,Barnegat,,,Foundered,,,"New York, NY",,,4,,0,,,Barnegat,#145622
Turner USS,DD-648,U S Navy,Destroyer,1943,"Kearny, NJ",1/3/1944,1944,1,3,Sandy Hook E 6.5 mi,40-29-36 N,73-52-18 W,Burned & Exploded,Steel,US,,,,>200,,138,,,,Benson - Livermore class
Turrialba,,Tropical Fruit SS Co,Steamship,1909,"Belfast, Ireland",12/24/1912,1912,12,24,Little Egg Harbor South end,,,Grounded,Steel,England,"Glasgow, Scotland","Jamaica, WI","New York, NY",161,,0,"$500,000","Bananas, coconuts & Gen merch",Little Egg/Little Beach,#128277; Refloated
Twenty Five Dollar Wreck,Dive boat capt nickname,,,,,,,,,Ocean City E 12 mi,39-13-06 N,74-18-36 W,,,,,,,,,,,,Diving wreck,"71 ft; Possibly ""Robert J Walker"""
Twilight (1877),,,Schooner,,,3/15/1877,1877,3,15,Cold Spring Bar South point,,,Stranded,,,"Great Egg Harbor, NJ","Philadelphia, PA","Atlantic City, NJ",3,,0,$500,Coal,#39,
Twilight (1923),,,Sidewheel steam,1868,,10/24/1923,1923,10,24,"Camden, NJ",,,Burned,Iron,,,,,0,,0,,,,#24788
Twilight (1959),,Charles & Wm Walker,Trawler diesel,1944,"Dorchester, NJ",7/29/1959,1959,7,29,Cape May S 13 mi,,,Foundered,Wood,US,"Philadelphia, PA","Cape May, NJ",,2,,0,"$20,000",,,#247809
Twin Locomotives,,,,,,1850,1850,,,Asbury Park E 8 mi,,,Fell overboard,Iron,US,,,,,,0,,,,Featured on Deep Sea Detectives
Two Brothers (1890),,,Schooner,1886,"Camden, NJ",7/22/1890,1890,7,22,Hereford Inlet South bar,,,Stranded,,,"Camden, NJ","Sea Isle City, NJ","Camden, NJ",3,,,,,,#145436; Refloated
Two Brothers (1944),,Alda Telesca,Motor vessel diesel,1929,"Brooklyn, NY",9/14/1944,1944,9,14,Atlantic Highlands,,,Stranded,,US,"Newport News, VA",,,2,,0,,,,#228333;Total loss
Two Brothers (1985),,Richard Ross,Lobster boat,,,~1985,1985,,,Ocean City E 50 mi,,,Sunk ; pump failed,,US,,,,3,,0,,,,
Two Friends (1777),,,Sloop,,,12/10/1777,1777,12,10,Long Beach Island near Barnegat,,,Stranded,,,,"Mole, Hispaniola","Philadelphia, PA",,,1,,"Salt, molasses, sugar, rum",,Total loss
Two Friends (1783),,,Merchantman,,,9/14/1783,1783,9,14,Cape May,,,Foundered in storm,,,,,"Philadelphia, PA",,,,,,,
